category,names,tot_points,n_races,final_rank
NOCAT,MICHAEL TAYLOR,100.0,1,1
NOCAT,RIVER LARIOS,100.0,1,1
NOCAT,TREVOR MORGAN,100.0,1,1
NOCAT,CORBIN HAWKINS,90.0,1,2
NOCAT,MARC CORDIER,90.0,1,2
NOCAT,FINN ALLEN,85.0,1,3
NOCAT,JONATHAN KORMOS,80.0,1,4
NOCAT,KAYLA DUNCAN,75.0,1,5
NOCAT,CAMERON MCMULLEN,70.0,1,6
NOCAT,DAVID PARKINSON,65.0,1,7
NOCAT,NOAH JURAVSKY,60.0,1,8
f0-15,HANNA KINSELLA,100.0,1,1
f0-15,ROSE BILTON,90.0,1,2
f0-15,PALOMA AMOS,85.0,1,3
f0-15,GEORGIA TURVOLGYI,80.0,1,4
f0-15,KAITLYN SAVAGE,75.0,1,5
f0-15,EMILY RIMMER,70.0,1,6
f0-15,ELIZABETH WRIGHT,65.0,1,7
f0-19,JULIANA LORTIE,280.0,3,1
f0-19,NIAMH CARLI,260.0,3,2
f0-19,CHLOE POPP,190.0,2,3
f0-19,ARIA LOEWEN,165.0,2,4
f0-19,MARIANA YALLONARDO,155.0,2,5
f0-19,CAITLIN MCCUE,150.0,2,6
f0-19,CHANTAL ABBOTT,100.0,1,7
f0-19,EMERSON DARLING,100.0,1,7
f0-19,JACQUELINE CHAMBERS,100.0,1,7
f0-19,KYANA ELLIS,100.0,1,7
f0-19,ANAR MOOSA,90.0,1,8
f0-19,ELIANA GIDDENS,90.0,1,8
f0-19,LINDSAY SHORT,85.0,1,9
f0-19,EMMILY OTT,80.0,1,10
f0-19,ISABELLE BURTON,80.0,1,10
f0-19,JULIETTE FREURE,80.0,1,10
f0-19,LAUREN GOODYEAR,80.0,1,10
f0-19,SAVANNAH` SCHULER,80.0,1,10
f0-19,JESSICA WILLIAMS,75.0,1,11
f0-19,LEAH PAYNE,75.0,1,11
f0-19,MARIA SCHIEDEL,75.0,1,11
f0-19,MEGAN PINEAU,75.0,1,11
f0-19,KAIA PLUIM-SIMON,70.0,1,12
f0-19,MAISY THOMAS,70.0,1,12
f0-19,ZOE FERRELLI,70.0,1,12
f0-19,CELESTE FERENCEVIC,65.0,1,13
f0-19,JOSEPHINE CORMIER,65.0,1,13
f0-19,MORGAN ISMAIL,65.0,1,13
f0-19,ALYSSA SINGARAJA,60.0,1,14
f0-19,ANNA JARVI,60.0,1,14
f0-19,MELISSA FUH,60.0,1,14
f0-19,DEREK KELLY,55.0,1,15
f0-19,ZOE LYNCH,55.0,1,15
f0-19,ABBY BRUMWELL,50.0,1,16
f0-19,GABRIELLA STEWART,50.0,1,16
f0-19,MICHELLE KELLY,0.0,1,17
f0-19,ALEXANDRA REEVES,0.0,1,18
f0-19,CHARLOTTE AUCHINLECK-HUGHES,0.0,1,19
f0-19,MADY YOUNG,0.0,1,20
f20-24,HEIDI AKOT,180.0,2,1
f20-24,KAITLYN SHIKAZE,180.0,2,2
f20-24,KAY-LEE GUILLEMETTE,150.0,3,3
f20-24,MARY REA,150.0,2,3
f20-24,MEAGHAN PHILLIPS,150.0,2,3
f20-24,AMBER PERREAULT,135.0,2,4
f20-24,AVA LATHAM,130.0,2,5
f20-24,EMILY DOUGLAS,130.0,2,6
f20-24,ANDREA KIELB,100.0,1,7
f20-24,CASSIDY SMYTH-ROBINSON,100.0,1,7
f20-24,HAYLEY HOOD,100.0,1,7
f20-24,LAUREN MILLER,100.0,1,7
f20-24,LAUREN STADTEGGER,100.0,1,7
f20-24,PAIGE SWEENEY,100.0,1,7
f20-24,ALEX QUEMBY,90.0,1,8
f20-24,ELLA MILLER,90.0,1,8
f20-24,NATALIE SU,90.0,1,8
f20-24,OLIVIA HUSZTI,90.0,1,8
f20-24,ROBYN PERRY,90.0,1,8
f20-24,SYDNEY LAVALLEE,90.0,1,8
f20-24,ELLE CUMMING,85.0,1,9
f20-24,FRANNIE FAVOT,85.0,1,9
f20-24,KATIE TONE,85.0,1,9
f20-24,LAUREN MATAI,85.0,1,9
f20-24,LUANA PORTILHO,85.0,1,9
f20-24,OLIVIA KIELB,85.0,1,9
f20-24,LILY CHUBATY,80.0,1,10
f20-24,MARINA SAFARI,80.0,1,10
f20-24,MAYA BARNABI,80.0,1,10
f20-24,REBECCA GROOTENDORST,80.0,1,10
f20-24,SAMANTHA PADOIN LEE,80.0,1,10
f20-24,TAYLOR MACLENNAN,80.0,1,10
f20-24,BRONWYN PAJO,75.0,1,11
f20-24,CARLY BAIRD,75.0,1,11
f20-24,CLEO LAZAR,75.0,1,11
