Intervals,Swim Stroke,Lengths,Distance,Time,Cumulative Time,Avg Pace,Best Pace,Avg. Swolf,Avg HR,Max HR,Total Strokes,Avg Strokes,Calories
1.1,Freestyle,1,25,00:22.3,00:22.3,1:29,1:29,33,--,--,11,--,6
1.2,Freestyle,1,25,00:20.6,00:42.8,1:22,1:22,33,--,--,12,--,6
1.3,Freestyle,1,25,00:22.1,01:04.9,1:28,1:28,34,--,--,12,--,6
1.4,Freestyle,1,25,00:23.8,01:28.7,1:35,1:35,37,--,--,13,--,6
1.5,Freestyle,1,25,00:24.1,01:52.7,1:36,1:36,37,--,--,13,--,6
1.6,Freestyle,1,25,00:24.9,02:17.6,1:40,1:40,39,--,--,14,--,6
1.7,Freestyle,1,25,00:25.1,02:42.7,1:41,1:41,39,--,--,14,--,6
1.8,Freestyle,1,25,00:25.7,03:08.4,1:43,1:43,40,--,--,14,--,6
1.9,Freestyle,1,25,00:25.6,03:34.1,1:42,1:42,40,--,--,14,--,6
1.1,Freestyle,1,25,00:25.8,03:59.8,1:43,1:43,40,--,--,14,--,6
1.11,Freestyle,1,25,0:24,04:23.8,1:36,1:36,37,--,--,13,--,6
1.12,Freestyle,1,25,00:27.1,04:50.9,1:48,1:48,42,--,--,15,--,6
1.13,Freestyle,1,25,00:29.5,05:20.4,1:58,1:58,45,--,--,15,--,6
1.14,Freestyle,1,25,00:25.3,05:45.7,1:41,1:41,38,--,--,13,--,6
1.15,Freestyle,1,25,00:27.3,06:13.0,1:49,1:49,41,--,--,14,--,6
1.16,Freestyle,1,25,00:25.1,06:38.1,1:41,1:41,39,--,--,14,--,6
1.17,Freestyle,1,25,00:27.6,07:05.7,1:50,1:50,43,--,--,15,--,6
1.18,Freestyle,1,25,00:28.2,07:33.9,1:53,1:53,42,--,--,14,--,6
1.19,Freestyle,1,25,00:24.6,07:58.5,1:39,1:39,38,--,--,13,--,6
1.2,Freestyle,1,25,00:28.1,08:26.6,1:52,1:52,44,--,--,16,--,6
1.21,Freestyle,1,25,00:27.3,08:53.9,1:49,1:49,42,--,--,15,--,6
1.22,Freestyle,1,25,00:29.2,09:23.1,1:57,1:57,43,--,--,14,--,6
1.23,Freestyle,1,25,00:23.7,09:46.7,1:35,1:35,37,--,--,13,--,6
1.24,Freestyle,1,25,00:27.6,10:14,1:50,1:50,43,--,--,15,--,6
1.25,Freestyle,1,25,00:26.8,10:41,1:47,1:47,42,--,--,15,--,6
1.26,Freestyle,1,25,00:28.6,11:10,1:55,1:55,44,--,--,15,--,6
1.27,Freestyle,1,25,00:28.4,11:38,1:54,1:54,43,--,--,15,--,6
1.28,Freestyle,1,25,00:26.6,12:05,1:46,1:46,41,--,--,14,--,6
1.29,Freestyle,1,25,00:28.2,12:33,1:53,1:53,43,--,--,15,--,6
1.3,Freestyle,1,25,0:26,12:59,1:44,1:44,40,--,--,14,--,6
1.31,Freestyle,1,25,00:27.4,13:26,1:50,1:50,42,--,--,15,--,6
1.32,Freestyle,1,25,00:28.7,13:55,1:55,1:55,44,--,--,15,--,6
1.33,Freestyle,1,25,00:27.8,14:23,1:51,1:51,43,--,--,15,--,6
1.34,Freestyle,1,25,00:26.8,14:50,1:47,1:47,41,--,--,14,--,6
1.35,Freestyle,1,25,00:22.7,15:12,1:31,1:31,37,--,--,14,--,6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
