"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
0,0,28.5643,0,"2026-03-14_MFXAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,0.00106383,28.5643,0,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
2,0.00212766,28.5643,113,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
3,0.00319149,28.5643,113,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
4,0.00425532,28.5643,114,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
5,0.00531915,28.5643,115,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
6,0.00638298,28.5643,115,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
7,0.00744681,28.5643,113,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
8,0.00851064,28.5643,113,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
9,0.00957447,28.5643,112,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
10,0.0106383,28.5643,112,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
11,0.0117021,28.5643,112,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
12,0.012766,28.5643,112,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
13,0.0138298,28.5643,111,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
14,0.0148936,28.5643,111,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
15,0.0159574,28.5643,111,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
16,0.0170213,28.5643,111,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
17,0.0180851,28.5643,111,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
18,0.0191489,28.5643,112,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
19,0.0202128,28.5643,112,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
20,0.0212766,28.5643,113,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
21,0.0223404,28.5643,113,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
