race_date,athlete,city,gender,age_group,swim_laps,bike_distance,run_laps,swim_points,bike_points,run_points,total_points,overall_rank,gender_rank,category_rank
2026-02-14,Paul Bregin,North York,Men,40-49,45,10.5,19,450,525,475,1450,2,2,1
2026-02-14,Santiago Rojas,Bowmanville,Men,40-49,39,9.7,16,390,485,400,1275,3,3,2
2026-02-14,Stephen Tsui,Markham,Men,40-49,32,9,15.5,320,450,388,1158,16,12,3
2026-02-14,Brad Middleton,Toronto,Men,40-49,26,8.9,16,260,445,400,1105,23,17,4
2026-02-14,Marcio Cassol,Woodbridge,Men,40-49,29,9.4,13.5,290,470,338,1098,24,18,5
2026-02-14,Evan Baard,Burlington,Men,40-49,22,8.3,15,220,415,375,1010,31,24,6
2026-02-14,Mustufa Ghani,Brampton,Men,40-49,17,7.6,10,170,380,250,800,49,33,7
2026-03-14,Paul Bregin,Toronto,Men,40-49,21.5,10.5,19.5,430,525,488,1443,1,1,1
2026-03-14,Derek Lantz,Newcastle,Men,40-49,20,10.7,19.5,400,535,488,1423,2,2,2
2026-03-14,Santiago Rojas,Bowmanville,Men,40-49,19,9.5,16,380,475,400,1255,7,6,3
2026-03-14,Adrian Joseph,Brampton,Men,40-49,16,10.3,16,320,515,400,1235,8,7,4
2026-03-14,Marcio Cassol,Woodbridge,Men,40-49,13.5,10.9,14,270,545,350,1165,19,16,5
2026-03-14,Steve Young,Toronto,Men,40-49,16,8.8,12,320,440,300,1060,33,24,6
2026-03-14,Soleil Tremblay,Huberdeau,Men,40-49,15.5,4.6,12.5,310,230,313,853,56,28,7
2026-03-14,Sergio Alves,Brampton,Men,40-49,8,8.6,10.5,160,430,263,853,57,29,8
