"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
0,0,0,103,"2026-03-28_YIUCB",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.8,43.585421761,-79.755253754,0,0,0,16,0
1,0.00448,0,102,"2026-03-28_YIUCB",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.8,43.58543358,-79.755199775,0,0,0,16,0
2,0.00959,0,103,"2026-03-28_YIUCB",17.1821305841924,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.6,43.585445231,-79.755134396,-3.91389,0,0,16,3.492
3,0.01388,0,103,"2026-03-28_YIUCB",4.15420405450316,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.8,43.58545311,-79.755087709,4.662,0,0,16,14.4432
4,0.01937,0,103,"2026-03-28_YIUCB",3.76818147561987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.8,43.585460653,-79.755015289,0,0,0,16,15.9228
5,0.02431,0,103,"2026-03-28_YIUCB",3.40205484112404,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.8,43.585475573,-79.754963238,0,0,0,16,17.6364
6,0.02938,92,102,"2026-03-28_YIUCB",3.38272106082132,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.585489822,-79.754899535,3.94477,9.52,199,16,17.7372
7,0.03422,92,102,"2026-03-28_YIUCB",3.32005312084993,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.585501725,-79.754843041,0,9.57,197,16,18.072
8,0.03912,92,102,"2026-03-28_YIUCB",3.38272106082132,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.585516225,-79.754782356,0,9.52,199,16,17.7372
9,0.04368,91.5,103,"2026-03-28_YIUCB",3.40901343151292,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.585530055,-79.754733154,0,9.46,201,16,17.6004
10,0.04861,92,103,"2026-03-28_YIUCB",3.42864979770966,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.585541539,-79.754669284,0.469288,9.46,201,16,17.4996
11,0.05286,92,104,"2026-03-28_YIUCB",3.43500961802693,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.585553022,-79.754624022,0.469288,9.43,202,16,17.4672
12,0.05756,92,104,"2026-03-28_YIUCB",3.55138859293984,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.58554816,-79.754558811,0.860678,9.31,206,16,16.8948
13,0.06171,90.5,104,"2026-03-28_YIUCB",3.58654328957751,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.585544724,-79.754511705,0.394477,9.46,209,16,16.7292
14,0.06637,90.5,104,"2026-03-28_YIUCB",3.69795133496043,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,43.585532235,-79.75445102,0.394477,9.34,213,16,16.2252
15,0.07075,90.5,104,"2026-03-28_YIUCB",3.68324125230203,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585525026,-79.754401902,0.851098,9.33,213,16,16.29
16,0.07559,90.5,105,"2026-03-28_YIUCB",3.73692077727952,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585512202,-79.754339373,0.456621,9.27,215,16,16.056
17,0.07986,90.5,106,"2026-03-28_YIUCB",3.68324125230203,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585509939,-79.754291344,0.456621,9.33,213,16,16.29
18,0.08457,90.5,106,"2026-03-28_YIUCB",3.73692077727952,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585503233,-79.75423024,0.456621,9.27,215,16,16.056
19,0.08858,90.5,107,"2026-03-28_YIUCB",3.71360665478313,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585506754,-79.754185397,0.456621,9.3,214,16,16.1568
20,0.09287,90.5,108,"2026-03-28_YIUCB",3.74447689657755,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585511448,-79.754127562,0.456621,9.27,215,16,16.0236
21,0.09687,90.5,108,"2026-03-28_YIUCB",3.79218809252939,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.58551983,-79.754083305,0.456621,9.42,218,16,15.822
22,0.10136,90.5,109,"2026-03-28_YIUCB",3.86607902265522,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585522177,-79.75402304,0.456621,9.14,219,16,15.5196
23,0.1056,89.5,109,"2026-03-28_YIUCB",3.86607902265522,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585525865,-79.753975766,0.456621,9.32,221,16,15.5196
24,0.11009,89.5,110,"2026-03-28_YIUCB",3.90869293308318,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585518153,-79.753915248,0.456621,9.28,222,16,15.3504
25,0.1142,89.5,111,"2026-03-28_YIUCB",3.81650255705671,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585519578,-79.753868813,0,9.38,219,16,15.7212
26,0.11915,89.5,112,"2026-03-28_YIUCB",3.90869293308318,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585516896,-79.753803434,0,9.28,222,16,15.3504
27,0.1233,89.5,114,"2026-03-28_YIUCB",3.80865326020719,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585519494,-79.753757166,0,9.38,219,16,15.7536
28,0.12784,89,116,"2026-03-28_YIUCB",3.85802469135802,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.2,43.585515387,-79.753696732,0,9.54,222,16,15.552
29,0.13187,89,118,"2026-03-28_YIUCB",3.80865326020719,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.4,43.58551304,-79.753651554,0.496278,9.57,221,16,15.7536
30,0.13613,89,120,"2026-03-28_YIUCB",3.85802469135802,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.6,43.585509017,-79.753595143,0.965761,9.54,222,16,15.552
31,0.13988,88.5,122,"2026-03-28_YIUCB",3.90869293308318,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.8,43.585515722,-79.753550636,1.49909,9.47,224,16,15.3504
32,0.14385,88.5,125,"2026-03-28_YIUCB",3.90869293308318,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.8,43.58552226,-79.753498584,1.49909,9.47,224,16,15.3504
33,0.14779,89,127,"2026-03-28_YIUCB",3.99584432190522,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,43.58553366,-79.753454579,2.00671,9.39,226,16,15.0156
34,0.15146,89,128,"2026-03-28_YIUCB",4.01412973667309,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,43.585548412,-79.753410406,2.00671,9.36,227,16,14.9472
35,0.15517,88.5,130,"2026-03-28_YIUCB",4.02284978678896,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,43.585564505,-79.753370508,2.00671,9.36,227,16,14.9148
36,0.15926,88,131,"2026-03-28_YIUCB",4.05910050332846,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,43.585585125,-79.753327006,2.00671,9.51,230,16,14.7816
37,0.16352,88,132,"2026-03-28_YIUCB",4.06901041666667,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.8,43.585604068,-79.75328166,1.53723,9.47,231,16,14.7456
38,0.16755,88.5,132,"2026-03-28_YIUCB",4.06901041666667,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.8,43.585622256,-79.753240086,1.53723,9.32,228,16,14.7456
39,0.17188,88.5,133,"2026-03-28_YIUCB",4.05022276225192,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.8,43.585642122,-79.753191136,1.04095,9.32,228,16,14.814
40,0.17616,89,133,"2026-03-28_YIUCB",4.05022276225192,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,43.585664082,-79.753149897,1.03875,9.32,228,16,14.814
41,0.18039,89,134,"2026-03-28_YIUCB",4.04138376980278,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,43.585687803,-79.753105221,0.50542,9.32,228,16,14.8464
42,0.18443,88.5,134,"2026-03-28_YIUCB",4.02284978678896,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.2,43.585711608,-79.753072197,1.00047,9.36,227,16,14.9148
43,0.18831,88.5,133,"2026-03-28_YIUCB",4.02284978678896,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.2,43.585736334,-79.753034394,0.492856,9.36,227,16,14.9148
44,0.19184,89,133,"2026-03-28_YIUCB",4.02284978678896,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.4,43.585759384,-79.753004974,1.05943,9.36,227,16,14.9148
45,0.1957,89.5,132,"2026-03-28_YIUCB",4.03258327284458,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.4,43.58578562,-79.752970356,1.05943,9.18,225,16,14.8788
46,0.1995,89.5,132,"2026-03-28_YIUCB",4.05910050332846,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.6,43.585810179,-79.75293993,1.58574,9.14,226,16,14.7816
47,0.20337,89.5,131,"2026-03-28_YIUCB",4.05910050332846,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.6,43.585835911,-79.752905229,2.05523,9.14,226,16,14.7816
48,0.20707,90,131,"2026-03-28_YIUCB",4.07797080172906,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.8,43.585860135,-79.75287715,2.59577,9.11,227,16,14.7132
49,0.21104,90.5,131,"2026-03-28_YIUCB",4.08697073728952,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.8,43.585887879,-79.752841862,2.59577,8.93,225,16,14.6808
50,0.2147,90.5,132,"2026-03-28_YIUCB",4.09701737135365,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,43.585912186,-79.752816046,2.67493,8.93,225,16,14.6448
51,0.21911,90.5,133,"2026-03-28_YIUCB",4.10610166707728,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,43.585945463,-79.752779752,2.67493,8.93,225,16,14.6124
52,0.2228,90.5,133,"2026-03-28_YIUCB",4.10610166707728,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,43.58597371,-79.75276106,2.17988,8.93,225,16,14.6124
53,0.22687,89,134,"2026-03-28_YIUCB",4.12541254125412,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,43.586009584,-79.752736501,2.17988,9.25,230,16,14.544
54,0.23076,89,135,"2026-03-28_YIUCB",4.12541254125412,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,43.586039843,-79.752722755,1.6133,9.25,230,16,14.544
55,0.23471,89,136,"2026-03-28_YIUCB",4.12541254125412,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,43.586075801,-79.752705321,1.6133,9.25,230,16,14.544
56,0.23836,89.5,137,"2026-03-28_YIUCB",4.12541254125412,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,43.586105892,-79.752699705,1.08699,9.07,228,16,14.544
57,0.24231,89.5,137,"2026-03-28_YIUCB",4.13462333581411,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,43.586143611,-79.752686545,1.08699,9.07,228,16,14.5116
58,0.24602,90,138,"2026-03-28_YIUCB",4.1438753522294,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.2,43.586172528,-79.752680845,1.08553,9.07,228,16,14.4792
59,0.25002,90.5,138,"2026-03-28_YIUCB",4.16354400866017,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.2,43.586212259,-79.752669949,1.08553,8.9,226,16,14.4108
60,0.25347,90.5,138,"2026-03-28_YIUCB",4.16354400866017,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.2,43.586240254,-79.752671039,0.539084,8.86,227,16,14.4108
61,0.2575,89.5,139,"2026-03-28_YIUCB",4.16354400866017,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.4,43.586282164,-79.752664752,1.03536,9.03,229,16,14.4108
