category,final_rank,names,race,ranking,points,tot_time,tot_points,n_races
m40-49,1,ADRIAN JOSEPH,07_barrie,2,90.0,01:08:08,265.0,3
m40-49,1,ADRIAN JOSEPH,09_wasaga,2,90.0,01:08:29,265.0,3
m40-49,1,ADRIAN JOSEPH,03_rose_city_sprint,3,85.0,01:09:34,265.0,3
m40-49,2,ROBERT CARDIE,05_bracebridge_sprint,1,100.0,01:19:03,255.0,3
m40-49,2,ROBERT CARDIE,08_toronto_island,3,85.0,01:14:24,255.0,3
m40-49,2,ROBERT CARDIE,01_gravenhurst_international,6,70.0,02:37:32,255.0,3
m40-49,3,MICHAEL SHAY,07_barrie,3,85.0,01:14:05,235.0,3
m40-49,3,MICHAEL SHAY,09_wasaga,3,85.0,01:16:27,235.0,3
m40-49,3,MICHAEL SHAY,03_rose_city_sprint,7,65.0,01:13:57,235.0,3
m40-49,4,ROMUALD LE CALONNEC,01_gravenhurst_international,1,100.0,02:06:56,200.0,2
m40-49,4,ROMUALD LE CALONNEC,03_rose_city_sprint,1,100.0,01:02:39,200.0,2
m40-49,5,ANDREW ROBERTS,07_barrie,1,100.0,01:07:54,175.0,2
m40-49,5,ANDREW ROBERTS,01_gravenhurst_international,5,75.0,02:32:17,175.0,2
m40-49,6,MICHAEL CAI,09_wasaga,4,80.0,01:17:23,145.0,2
m40-49,6,MICHAEL CAI,07_barrie,7,65.0,01:20:23,145.0,2
m40-49,7,MARK SCHMIDT,09_wasaga,5,75.0,01:18:51,145.0,2
m40-49,7,MARK SCHMIDT,07_barrie,6,70.0,01:19:30,145.0,2
m40-49,8,CRAIG MCFARQUHAR,08_toronto_island,1,100.0,01:06:36,100.0,1
m40-49,8,MARK DANYLUK,09_wasaga,1,100.0,01:05:00,100.0,1
m40-49,9,CLAYTON CHARTERS,08_toronto_island,2,90.0,01:14:05,90.0,1
m40-49,9,DIEGO ALCUBIERRE GONZALEZ,03_rose_city_sprint,2,90.0,01:07:45,90.0,1
m40-49,9,JOHN HAYDEN,04_bracebridge_international,2,90.0,02:38:54,90.0,1
m40-49,9,RIC MANSUETO,01_gravenhurst_international,2,90.0,02:07:26,90.0,1
m40-49,10,GARVIN MOSES,01_gravenhurst_international,3,85.0,02:11:27,85.0,1
m40-49,11,ANDY ROBERTS,03_rose_city_sprint,4,80.0,01:10:35,80.0,1
m40-49,11,CHRISTIAN THATCHER,08_toronto_island,4,80.0,01:14:25,80.0,1
m40-49,11,MICHAEL PINGITORE,04_bracebridge_international,4,80.0,02:54:59,80.0,1
m40-49,11,SAM DUMCUM,07_barrie,4,80.0,01:14:10,80.0,1
m40-49,11,STEPHEN MOORE,01_gravenhurst_international,4,80.0,02:21:02,80.0,1
m40-49,12,CHRISTOFFER JULIAN,03_rose_city_sprint,5,75.0,01:11:35,75.0,1
m40-49,12,GEOFF HEMPEL,07_barrie,5,75.0,01:15:04,75.0,1
m40-49,12,HRATCH PAN,08_toronto_island,5,75.0,01:20:40,75.0,1
m40-49,12,REUVEN GORSHT,04_bracebridge_international,5,75.0,03:11:21,75.0,1
m40-49,13,KINGSLEY CHAK,03_rose_city_sprint,6,70.0,01:12:56,70.0,1
m40-49,13,MIKE YOUNG,08_toronto_island,6,70.0,01:23:16,70.0,1
m40-49,13,WILL VARGAS,09_wasaga,6,70.0,01:22:25,70.0,1
m40-49,14,NEEL PARIKH,09_wasaga,7,65.0,01:25:54,65.0,1
m40-49,14,PAUL GIBBESH,01_gravenhurst_international,7,65.0,02:54:41,65.0,1
m40-49,14,RYAN JAMES,08_toronto_island,7,65.0,01:26:13,65.0,1
m40-49,15,CHRIS MACE,07_barrie,8,60.0,01:25:20,60.0,1
m40-49,15,DANNIELL SAUNDERS,08_toronto_island,8,60.0,01:32:32,60.0,1
m40-49,15,PAUL FRAYNE,01_gravenhurst_international,8,60.0,02:55:11,60.0,1
m40-49,15,SCOTT DALZELL,09_wasaga,8,60.0,01:46:14,60.0,1
m40-49,15,STUART CULLEN,03_rose_city_sprint,8,60.0,01:15:37,60.0,1
m40-49,16,DAVID MACDONALD,07_barrie,9,55.0,01:38:12,55.0,1
m40-49,16,FELIX WAN,08_toronto_island,9,55.0,01:48:55,55.0,1
m40-49,16,GORDON SZASZI,03_rose_city_sprint,9,55.0,01:37:38,55.0,1
m40-49,16,LOUIS NG,01_gravenhurst_international,9,55.0,03:34:23,55.0,1
m40-49,17,DEREK MURRAY,03_rose_city_sprint,10,50.0,01:43:41,50.0,1
m40-49,17,MICHAEL BRITO,08_toronto_island,10,50.0,01:49:29,50.0,1
m40-49,17,RAV DHAMRAIT,07_barrie,10,50.0,01:43:36,50.0,1
m40-49,18,JEFF MOISAN,03_rose_city_sprint,0,,00:00:00,0.0,1
m40-49,18,TOUSSAINT BROWN,08_toronto_island,11,,02:00:24,0.0,1
