category,names,tot_points,n_races
m40-49,ADRIAN JOSEPH,265.0,3
m40-49,ROBERT CARDIE,255.0,3
m40-49,MICHAEL SHAY,235.0,3
m40-49,ROMUALD LE CALONNEC,200.0,2
m40-49,ANDREW ROBERTS,175.0,2
m40-49,MICHAEL CAI,145.0,2
m40-49,MARK SCHMIDT,145.0,2
m40-49,CRAIG MCFARQUHAR,100.0,1
m40-49,MARK DANYLUK,100.0,1
m40-49,CLAYTON CHARTERS,90.0,1
m40-49,DIEGO ALCUBIERRE GONZALEZ,90.0,1
m40-49,JOHN HAYDEN,90.0,1
m40-49,RIC MANSUETO,90.0,1
m40-49,GARVIN MOSES,85.0,1
m40-49,ANDY ROBERTS,80.0,1
m40-49,CHRISTIAN THATCHER,80.0,1
m40-49,MICHAEL PINGITORE,80.0,1
m40-49,SAM DUMCUM,80.0,1
m40-49,STEPHEN MOORE,80.0,1
m40-49,CHRISTOFFER JULIAN,75.0,1
m40-49,GEOFF HEMPEL,75.0,1
m40-49,HRATCH PAN,75.0,1
m40-49,REUVEN GORSHT,75.0,1
m40-49,KINGSLEY CHAK,70.0,1
m40-49,MIKE YOUNG,70.0,1
m40-49,WILL VARGAS,70.0,1
m40-49,NEEL PARIKH,65.0,1
m40-49,PAUL GIBBESH,65.0,1
m40-49,RYAN JAMES,65.0,1
m40-49,CHRIS MACE,60.0,1
m40-49,DANNIELL SAUNDERS,60.0,1
m40-49,PAUL FRAYNE,60.0,1
m40-49,SCOTT DALZELL,60.0,1
m40-49,STUART CULLEN,60.0,1
m40-49,DAVID MACDONALD,55.0,1
m40-49,FELIX WAN,55.0,1
m40-49,GORDON SZASZI,55.0,1
m40-49,LOUIS NG,55.0,1
m40-49,DEREK MURRAY,50.0,1
m40-49,MICHAEL BRITO,50.0,1
m40-49,RAV DHAMRAIT,50.0,1
m40-49,JEFF MOISAN,0.0,1
m40-49,TOUSSAINT BROWN,0.0,1
